id,nombre,categoria,pais,cantidad,precioUnitario,fecha,metodoPago
1,Protein Powder,Fitness,Indonesia,6,643.64,2025-04-25,BIZUM
2,Nutritional Yeast,Food - Pantry,Portugal,4,850.01,2025-11-27,BIZUM
3,Honey Almond Granola Bars,Food - Snacks,Czech Republic,19,158.15,2025-03-17,BIZUM
4,Comfy Slippers,Footwear,China,20,62.37,2025-05-03,TARJETA
5,Artisan Bread Loaf,Food - Bakery,Brazil,16,184.19,2025-04-01,TARJETA
6,Dried Mango Slices,Food - Snacks,Philippines,18,684.53,2025-02-24,TRANSFERENCIA
7,Portable Hammock with Stand,Outdoor,China,3,252.5,2025-07-03,BIZUM
8,Dark Chocolate Covered Raisins,Food - Snacks,Chile,17,824.87,2025-03-09,TRANSFERENCIA
9,Italian Meatballs,Food - Meat,Colombia,7,829.21,2025-12-13,BIZUM
10,Thai Green Curry Paste,Food - Sauces,Philippines,9,173.16,2025-08-04,BIZUM
11,Black Olives,Food - Canned Goods,China,15,383.24,2025-10-09,BIZUM
12,Coconut Milk,Food - Canned Goods,Cameroon,12,613.77,2025-05-01,TARJETA
13,Baking Soda,Food - Baking,Indonesia,5,337.0,2025-05-18,TARJETA
14,Energy Protein Bars,Food - Snacks,China,9,735.58,2026-03-28,TRANSFERENCIA
15,Spicy Hummus,Food - Deli,Denmark,20,133.81,2025-05-18,TARJETA
16,Garden Tool Set with Carrying Bag,Garden,Central African Republic,15,273.8,2025-11-03,TRANSFERENCIA
17,Portable Bluetooth Keyboard,Electronics,France,11,915.9,2026-02-04,TARJETA
18,Chilli Lime Corn on the Cob,Food - Vegetable,Brazil,14,192.74,2025-06-05,TARJETA
19,Eco-Friendly Yoga Mat,Fitness,Armenia,11,571.52,2025-11-21,TARJETA
20,Radish Chips,Food - Snacks,China,8,17.32,2025-08-02,TARJETA
21,Radish Chips,Food - Snacks,Ecuador,19,277.96,2026-03-31,TRANSFERENCIA
22,Crispy Tofu Bites,Food - Protein,Brazil,4,735.28,2026-03-20,TRANSFERENCIA
23,Whisk Set,Kitchen,Nigeria,15,220.44,2025-02-16,TRANSFERENCIA
24,Truffle Parmesan Fries,Food - Snacks,Japan,1,74.35,2026-01-28,TARJETA
25,Mesh Sports Leggings,Clothing - Activewear,Greece,9,639.47,2025-06-26,BIZUM
26,Winter Insulated Jacket,Clothing,Sweden,18,513.3,2026-01-30,TRANSFERENCIA
27,Decorative Throw Pillows,Home,France,20,81.14,2025-08-30,BIZUM
28,Portable Solar Phone Charger,Electronics,Philippines,8,161.98,2025-01-27,TARJETA
